task_id,n,density,nonlinearity,noise,hidden_fraction,intervention_strength,seed,parent_id,generation,complexity,train_mse,test_mse,graph_f1,solvability,novelty,learnability,interestingness
32,7,0.40115481074094006,0.6542754293754753,0.001,0.05583772954077933,0.8475130580360807,719470,29,4,4.1933450605125655,0.0005825808044432711,0.0033394616965142653,0.7272727272727273,0.7904095458004641,0.2561193277009821,0.759590454199536,0.2353356791886312
30,5,0.4233278308640942,0.7612757381473672,0.001,0.0,1.363228608409763,341603,17,3,3.6775213440644507,0.00020989774857589142,0.0038289688328513208,0.888888888888889,0.8861131174440691,0.29356967189659205,0.663886882555931,0.23073395814043918
93,8,0.12460223251918662,0.40600654494844046,0.008503040994594325,0.0,1.0765016415900373,509790,81,11,2.013808579999108,0.0004080125249902802,0.0012212610664215993,0.6,0.7292342809328531,0.2503987045731806,0.8207657190671469,0.22621243614547956
38,6,0.4662037498916954,0.5968710371382513,0.003117629257528287,0.023842657747540914,1.4157796932448852,582542,30,4,4.20804589997515,0.0002313633647951311,0.0006340839388415485,0.8333333333333333,0.88490771558522,0.2763399352932171,0.6650922844147801,0.22246172462036476
16,7,0.3896047842008934,1.0669746089695538,0.0012183671634298364,0.0,1.0070525426281336,55531,9,2,4.641994837283323,0.00017365469051773167,0.000821397091170537,0.8571428571428571,0.8982452857661938,0.27165787243732326,0.6517547142338063,0.2181485561181766
56,5,0.5804576358058549,0.8800824397372843,0.001,0.05703641159041377,1.5479895041507161,444758,54,7,4.83939971885645,0.00033413099738430517,0.0012125592102350167,0.9600000000000001,0.9599302188477933,0.2760336008275475,0.5900697811522068,0.20229093668504736
57,6,0.17070982534209234,0.32168937161481875,0.013802115425441325,0.07786148477714555,1.6557662094449166,35680,52,7,2.3361977385055344,0.000188803813875346,0.0004786325010208342,0.33333333333333337,0.5634212946246945,0.18309937022590636,0.9865787053753056,0.20174270417494444
44,6,0.4382228308632183,0.6381687578940487,0.001,0.0632030230632773,0.8152697146889447,700274,32,5,3.999178594085259,5.5747574629062513e-05,0.0001914882247762111,0.9166666666666666,0.9436624371436907,0.2690967640182372,0.6063375628563094,0.19578947010858924
52,6,0.19501099449999648,0.2896215703186219,0.012322166108241758,0.09422852807294119,1.4778999160712643,857449,43,6,2.4066612785640613,0.00029415265218901064,0.00040335067850504465,0.7499999999999999,0.8334561201858937,0.24260013449162532,0.7165438798141064,0.19475157632102874
48,6,0.1783772293944241,0.18805100226439259,0.001,0.0014567354558799456,1.129980961414341,466230,43,6,1.7049760068271356,0.00038272563009202233,0.02568408046548818,0.0,0.25716661671525987,0.25006179054925737,0.7071666167152598,0.1919103518713805
20,7,0.40986739907033803,0.6479432584887055,0.001,0.013009200809457697,1.0997962750069616,912623,9,2,4.213448565751157,0.00023613033533069055,0.019576062362782077,0.9285714285714286,0.7539315533671674,0.198678261909714,0.7960684466328326,0.19148176162266212
65,7,0.16022243286103524,0.42524069370156814,0.013328930898349372,0.027443233312276383,1.5787488612924951,629226,57,8,2.434940121231532,0.0002134784370873469,0.0002371409015403689,0.8,0.8675277682598358,0.22706444567835837,0.6824722317401642,0.17383172557689733
63,6,0.4086163951156528,0.3343407510077241,0.0018491507787492217,0.12429929042151482,0.9915050151907049,917167,53,7,3.579900735603993,0.0003155054316774712,0.0005675439247716887,0.8235294117647058,0.8792852829612738,0.21310479485187392,0.6707147170387262,0.16851673424312824
72,7,0.08,0.20446769063031314,0.006607531732171436,0.01460452365297279,1.0578585696054819,993251,71,9,1.2866457332812606,0.00013818424535684177,0.0007102509961562898,0.4,0.6048230556260075,0.16324823241964573,0.9451769443739926,0.16422483860676756
45,6,0.490279880754705,0.4513777425279174,0.003948071079655519,0.051601193079549704,1.5523268934784273,622179,38,5,4.252927659859063,8.926642104498399e-05,0.00016973259491895163,0.9473684210526316,0.9638243641802147,0.20288992745555298,0.5861756358197854,0.1442189820283976
46,4,0.4695855200804194,0.5046778654992776,0.001370182415450788,0.00575500297344602,1.3345039397841663,341025,33,5,3.0637993920939666,0.0003322701839397039,0.0006794598716305378,0.8333333333333333,0.8844260045893144,0.187117643681231,0.6655739954106856,0.14361901422312862
